provider,model,instance_id,ground_truth_root,visible_symptom,parsed_node,correct,selected_symptom,graph_prediction,graph_correct,prompt_sha256,latency_ms,input_tokens,output_tokens,total_tokens
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--mono_step--explicit_tool_error--010,tool::calculate,,tool::calculate,True,False,tool::calculate,True,5c74af054eeef6a505c482ce643248a4d05aa78ea4845658796025f029e65d7f,4845.717489995877,3604,357,3961
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--mono_step--explicit_tool_error--011,tool::calculate,,tool::calculate,True,False,tool::calculate,True,67f5bc089001c4fbb4b8cabdcf00d4c7ec3ba73a05625aebccf843154238729f,5009.339944001113,3613,434,4047
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--mono_step--explicit_tool_error--012,tool::calculate,,tool::calculate,True,False,tool::calculate,True,ed5c7aad8fd8f476be2a0bea734d35004b5ab82548eed153f261ce82d7029578,4405.845635003061,3599,337,3936
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--mono_step--explicit_tool_error--013,tool::calculate,,tool::calculate,True,False,tool::calculate,True,a740466a7dc96c259cd361c738240615cb46dba7dfc31b81e9216e803c69d664,7554.391043006035,3611,935,4546
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--mono_step--explicit_tool_error--014,tool::calculate,,tool::calculate,True,False,tool::calculate,True,b1176d6b50676e33b5e7c3d1f319f1842cf48d135dff1f2e5a6629cb9241b4a5,6077.095371998439,3592,527,4119
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--mono_step--incorrect_numeric_value--000,tool::calculate,,tool::calculate,True,False,tool::calculate,True,88acbe02bc4439eb71999252f6f2d14affa6eac3149108f89e75771cc413d7bd,4087.2364550014026,3614,271,3885
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--mono_step--incorrect_numeric_value--001,tool::calculate,,tool::calculate,True,False,tool::calculate,True,5fbe957e88ca37f855b857a0100ad508b0d832603ad6bc0ae300f9df86177dfb,4575.703889000579,3607,399,4006
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--mono_step--incorrect_numeric_value--002,tool::calculate,,,False,False,tool::calculate,True,8bff07d9ece52c24ef932c103b99f0aa2aaee5459a3173745e44d5c881cb0650,4100.996510998812,3621,364,3985
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--mono_step--incorrect_numeric_value--003,tool::calculate,,tool::calculate,True,False,tool::calculate,True,c4996f5c27b610ee03931f78d5ffcb99ddd6d7399f66946c79232b45836869cc,5500.328016001731,3637,513,4150
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--mono_step--incorrect_numeric_value--004,tool::calculate,,tool::calculate,True,False,tool::calculate,True,07305ce6f0d6cf41a36e54fdb16f262a0e84296d1069ee9b4d12e6fb02a60e6b,6132.502756998292,3608,632,4240
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--mono_step--incorrect_numeric_value--005,tool::calculate,,tool::calculate,True,False,tool::calculate,True,b35af7d27efc7075559f6777884dc8b14eda035d003ba7db33efbac20585d5a0,5015.54697699612,3630,374,4004
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--mono_step--incorrect_numeric_value--006,tool::calculate,,tool::calculate,True,False,tool::calculate,True,ecd34469102ffdcf240e28716ba6fcd75cdbb8f3062c0aca9997e7cc1e2b8314,6192.309505000594,3614,540,4154
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--mono_step--incorrect_numeric_value--007,tool::calculate,,tool::calculate,True,False,tool::calculate,True,d03a459de525c68b6cf2ea3145b649b2166d7ddd7d3be27071ffff3fdbde5dda,3153.071581000404,3611,163,3774
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--mono_step--incorrect_numeric_value--008,tool::calculate,,tool::calculate,True,False,tool::calculate,True,b56d3d5b263e196e4256a61694f082be6557961752a8d585e3dd5c1e70151ae3,3585.6539699962013,3617,198,3815
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--mono_step--incorrect_numeric_value--009,tool::calculate,,tool::calculate,True,False,tool::calculate,True,e1ce373092c21a91f7eb7aa45e0fa05b05d2e27777e9c16bb7177e825e89f023,5011.181169000338,3614,383,3997
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--mono_step--incorrect_numeric_value--010,tool::calculate,,tool::calculate,True,False,tool::calculate,True,478215fc1bd66e8e9b05e361173049dd5b98d954f717b1cb034e37abcf689441,3685.6635970034404,3618,254,3872
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--mono_step--incorrect_numeric_value--011,tool::calculate,,tool::calculate,True,False,tool::calculate,True,d5a9cff61432d16992729bc00e923c36c697d7cceffa366b28cbc4a449271c7d,9285.517868003808,3613,878,4491
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--mono_step--incorrect_numeric_value--012,tool::calculate,,tool::calculate,True,False,tool::calculate,True,a9df18139e3b625b5667b94c8a376b1677a5e753a21d318ff74d648be97e8959,5247.529879998183,3627,424,4051
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--mono_step--incorrect_numeric_value--013,tool::calculate,,tool::calculate,True,False,tool::calculate,True,d6d720fbb4a2c7afe157f9fda0bc3786a0b360b97ad7178f62c756aaac5c74b3,6161.6853489977075,3636,586,4222
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--mono_step--incorrect_numeric_value--014,tool::calculate,,tool::calculate,True,False,tool::calculate,True,699953a50bb301e069c99b0d1befdddbdd9b80e6b8d7e91b566cb7909219ca6d,6340.113099002338,3605,529,4134
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--mono_step--incorrect_time_observation--000,tool::get_current_datetime,,tool::get_current_datetime,True,False,tool::get_current_datetime,True,a0430c18e88a77aa5011a0a1a51ec42947a10203140adcba07b346c10fe11e06,4382.636359005119,3683,406,4089
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--mono_step--incorrect_time_observation--001,tool::get_current_datetime,,tool::get_current_datetime,True,False,tool::get_current_datetime,True,93dcac72a44eb5c52b01c03b33d5a601e8076c4b7da29339f8b36cee61e6df8e,3086.189353998634,3705,175,3880
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--mono_step--incorrect_time_observation--002,tool::get_current_datetime,call_model,tool::get_current_datetime,True,False,tool::get_current_datetime,True,e126d6a5c41c42c5e0825e2881c0407e24098419895a729322b918fea30e3382,5609.906906000106,3775,566,4341
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--mono_step--incorrect_time_observation--003,tool::get_current_datetime,,tool::get_current_datetime,True,False,tool::get_current_datetime,True,02fad83ba8dd8cee327548f0045e4764926d7e45a85f1b1b1e7c2127bf5f6324,4628.367380006239,3778,320,4098
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--mono_step--incorrect_time_observation--004,tool::get_current_datetime,call_model,tool::get_current_datetime,True,False,tool::get_current_datetime,True,2d43ea06dc417b0cc42c0bdd31a645322246d98389f77698ce176050070a5e46,4682.322166001541,3719,368,4087
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--mono_step--incorrect_time_observation--005,tool::get_current_datetime,call_model,tool::get_current_datetime,True,False,tool::get_current_datetime,True,2c5cc92e6a9bce1caa7cd8287839b72314cb919f5e1d8c777d5de800dd2a3a7b,4198.288937994221,3722,282,4004
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--mono_step--incorrect_time_observation--006,tool::get_current_datetime,call_model,tool::get_current_datetime,True,False,tool::get_current_datetime,True,b4cf9f2ae4e2396bff6bc23101c08515bd89464a245cd43402e7af8727c27578,5361.931199993705,3775,551,4326
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--mono_step--incorrect_time_observation--007,tool::get_current_datetime,call_model,tool::get_current_datetime,True,False,tool::get_current_datetime,True,cb7d7d7d88bb26bfc3e937d4d47aa90ba39b2a9a82560dff8112a06a3ea2f810,4847.5801719978335,3697,445,4142
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--mono_step--incorrect_time_observation--008,tool::get_current_datetime,call_model,tool::get_current_datetime,True,False,tool::get_current_datetime,True,33dcd958ecfad77c4fd0116bf2b7dda99f114004dd1e3f44f05893b5d42dd404,3739.312498997606,3714,262,3976
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--mono_step--incorrect_time_observation--009,tool::get_current_datetime,call_model,tool::get_current_datetime,True,False,tool::get_current_datetime,True,f996b74a136416ad44a6e4ceabc022ebf899fc2f3b644c518309dede661bb648,4388.363598998694,3665,346,4011
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--mono_step--incorrect_time_observation--010,tool::get_current_datetime,call_model,tool::get_current_datetime,True,False,tool::get_current_datetime,True,1cfe7bb2e15abdec5437f927b5e5a2defcd5f99a1c3a0a8fdfe875c5d83f0dab,3458.805857000698,3704,221,3925
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--mono_step--incorrect_time_observation--011,tool::get_current_datetime,call_model,tool::get_current_datetime,True,False,tool::get_current_datetime,True,53fd089068a4f85d70ddf37b34cf248750d8cf2af6bfd8dcd3d28e101ece9906,2921.3319839982432,3729,149,3878
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--mono_step--incorrect_time_observation--012,tool::get_current_datetime,call_model,tool::get_current_datetime,True,False,tool::get_current_datetime,True,bd3153b933879739d5906ee02a17258522fe59ef0485349712ba4669d7acece1,4380.349657003535,3694,349,4043
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--mono_step--incorrect_time_observation--013,tool::get_current_datetime,,tool::get_current_datetime,True,False,tool::get_current_datetime,True,1960a4753d2484817632262d3c58470ce9e5ad95fa4f869ed31840aaf043cdd1,5117.9043220035965,3661,456,4117
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--mono_step--incorrect_time_observation--014,tool::get_current_datetime,call_model,tool::get_current_datetime,True,False,tool::get_current_datetime,True,823fbe844af55d739f3ae872c05f9a587dd8994846a056ee82c949be9a9712ac,9964.363730003242,3712,1049,4761
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--mono_step--malformed_tool_result--000,tool::calculate,call_model,tool::calculate,True,False,tool::calculate,True,44fd74937abf6e1185558c4e06f6ec4c67135dcd143c3d18a52986706763d79a,6885.45221700042,3648,581,4229
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--mono_step--malformed_tool_result--001,tool::calculate,,tool::calculate,True,False,tool::calculate,True,91273a610b67ae7aa13ae4ec4c69c2530bf2479ba20c9cf80f9d1086a3b322b0,6332.585611999093,3640,655,4295
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--mono_step--malformed_tool_result--002,tool::calculate,,tool::calculate,True,False,tool::calculate,True,d81fc2f9415f4c4e646e66e0b522472b3b71f8738fce4d79c43f29aae08b8729,4288.559289001569,3678,370,4048
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--mono_step--malformed_tool_result--003,tool::calculate,,tool::calculate,True,False,tool::calculate,True,4f95f7313d789d784f459ccaa6d7d0b8cb8659f4464d9028c3ba9f1dbaacb6b8,4835.773168997548,3631,423,4054
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--mono_step--malformed_tool_result--004,tool::calculate,,tool::calculate,True,False,tool::calculate,True,216e6a62e78f5ce76725c1382820cf5fd63b5a37ea07185b99a4b26584ff1dcc,5845.375913006137,3639,543,4182
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--mono_step--malformed_tool_result--005,tool::calculate,,tool::calculate,True,False,tool::calculate,True,78ff654fd3579e307cc261d4420d1ec2e2b74c4545f5d1dee743946525854c2a,5762.469232999138,3628,488,4116
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--mono_step--malformed_tool_result--006,tool::calculate,,tool::calculate,True,False,tool::calculate,True,653a531a546faed5b5732f56b56944d0016861fc8feb862c9f71f3a73561d046,4851.329720004287,3637,428,4065
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--mono_step--malformed_tool_result--007,tool::calculate,,tool::calculate,True,False,tool::calculate,True,1d15524ea00a17349a4aee7d3ea5284ba08095c75dbfc4e74a5aca2780b2fd07,6292.9628860001685,3636,550,4186
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--mono_step--malformed_tool_result--008,tool::calculate,,tool::calculate,True,False,tool::calculate,True,b23d3a5363f1e861dd704b383047d525bb850a56e1811457645681110604a77f,6127.9931550016045,3625,563,4188
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--mono_step--malformed_tool_result--009,tool::calculate,,tool::calculate,True,False,tool::calculate,True,59deff2e12f5cb7c4c1dfa06d9dc353bc98d01e0eb751f3443feb284dcdaa2ca,5529.621640998812,3629,459,4088
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--mono_step--malformed_tool_result--010,tool::calculate,,tool::calculate,True,False,tool::calculate,True,349680b0f334802265e22de01b888c06623fd9f2017d870e2e5e07907ea278ef,6303.964534999977,3633,677,4310
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--mono_step--malformed_tool_result--011,tool::calculate,call_model,tool::calculate,True,False,tool::calculate,True,d96f54de3228d4aad9e0a8b179d98fe1146c8b120f8a83b4594c2df514ae6c69,5493.811230000574,3668,467,4135
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--mono_step--malformed_tool_result--012,tool::calculate,,tool::calculate,True,False,tool::calculate,True,c6bfbb92e8b64ffb18243f657d05c5c903ae83b2b10bd0a5cc56d73a5c17e019,4444.66010400356,3639,385,4024
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--mono_step--malformed_tool_result--013,tool::calculate,,tool::calculate,True,False,tool::calculate,True,37d4605637bce07e3646d27a1e9bc62cbcb76b29a99cbf6dd22ab486dda4ccbd,5447.5622400059365,3648,505,4153
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--mono_step--malformed_tool_result--014,tool::calculate,,tool::calculate,True,False,tool::calculate,True,86802f64df85a359011b7e4911d5c9eaad98b8bea07f980f970d36d73e592b7d,4030.6522359969676,3654,377,4031
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--multi_step--explicit_tool_error--000,tool::calculate,,tool::calculate,True,False,tool::calculate,True,f0ed0d67207b7ae007209056bbf44fb6cf5bdbd4fa8256ac606b473d5749ffca,19118.793925001228,9956,2102,12058
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--multi_step--explicit_tool_error--001,tool::calculate,call_model,tool::calculate,True,False,tool::calculate,True,ce2b14fb81adfa03ed95d6b73f5be689a419b99a1621aadcb5a2c6147cc53e9c,6977.04370500287,12397,646,13043
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--multi_step--explicit_tool_error--002,tool::calculate,,tool::calculate,True,False,tool::calculate,True,c7a8aaa6790a81373e3c6d1aefff7a9556ba9a094f8c675448f170a0710aa03f,3242.7805199986324,9949,153,10102
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--multi_step--explicit_tool_error--003,tool::calculate,call_model,tool::calculate,True,False,tool::calculate,True,8dce65b2a43ad2bf9ed79ca567cb6f7f38a5b85ac719680ae66643f48134dd70,4911.18427800393,11428,258,11686
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--multi_step--explicit_tool_error--004,tool::calculate,,tool::calculate,True,False,tool::calculate,True,b217166b7904c5d4f6a268c699452e121ee6f510c30a0953efffc12187737c85,3270.5868640041444,10331,119,10450
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--multi_step--explicit_tool_error--005,tool::calculate,call_model,tool::calculate,True,False,tool::calculate,True,a36599c99ba7d179b6d0d2d2a6dac01754df2a1a0ff9ad186a1fd5ca7393b1a5,4301.303446001839,12711,194,12905
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--multi_step--explicit_tool_error--006,tool::calculate,,tool::calculate,True,False,tool::calculate,True,91760c07283b2a88494103ae45111e9e89a78eea1e75dd7cc424f1c088f574d3,4706.806631998916,10099,322,10421
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--multi_step--explicit_tool_error--007,tool::calculate,,tool::calculate,True,False,tool::calculate,True,720847ccfd642db722236810a61cc711955fbb8f69393d21e65a4c6fd8db733d,12748.84743700386,10148,1223,11371
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--multi_step--explicit_tool_error--008,tool::calculate,,tool::calculate,True,False,tool::calculate,True,feb553103c88e7111f9eb669457fe6775eea7e01c90dbee9fb8558cde6dc5768,3731.800342000497,10070,160,10230
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--multi_step--explicit_tool_error--009,tool::calculate,,tool::calculate,True,False,tool::calculate,True,427d0810b82454fb17f990738fc8e685ac0d19c56f81e00b424b08ad3a832583,6778.990794002311,10272,607,10879
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--multi_step--incorrect_numeric_value--000,tool::calculate,,tool::calculate,True,False,tool::calculate,True,cec9e45d07f9e00fb6d0b21d0aca6f6d68fc5c4a58412bfe53be6c792ca103a3,15241.371375996096,10120,1605,11725
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--multi_step--incorrect_numeric_value--001,tool::calculate,,tool::calculate,True,False,tool::calculate,True,55e062df09123ab929a72885c20fb7d507c9c90b0738cd0cba05f074b56518ce,24590.647015997092,10505,2751,13256
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--multi_step--incorrect_numeric_value--002,tool::calculate,,tool::calculate,True,False,tool::calculate,True,cd0185749efaf76cdd0c84cf3706530cd826002188785484fbb7c2714598d2ee,6282.205368996074,10035,583,10618
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--multi_step--incorrect_numeric_value--003,tool::calculate,call_model,tool::calculate,True,False,tool::calculate,True,d488d97bcdb881e10ce639b7d4373542d5a9a846024f119527db41209b619ac3,4940.985189001367,11687,315,12002
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--multi_step--incorrect_numeric_value--004,tool::calculate,,tool::calculate,True,False,tool::calculate,True,289f1b89c50370756f4a5c36981231a66341439be38b58b087402f4f5808498a,3422.640747994592,9996,143,10139
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--multi_step--incorrect_numeric_value--005,tool::calculate,,tool::calculate,True,False,tool::calculate,True,e7fe4fe6da65f1100dded0e2bcea25543902e8c273e2389176e19b7c00214c4d,7162.003138997534,10248,771,11019
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--multi_step--incorrect_numeric_value--006,tool::calculate,,tool::calculate,True,False,tool::calculate,True,9763071544b7f13bf078524c818374f81a9d599ca7723fd80dcb9e4e4ca8f1c9,2984.262598998612,10110,126,10236
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--multi_step--incorrect_numeric_value--007,tool::calculate,call_model,tool::calculate,True,False,tool::calculate,True,13248caacf0fbb143154e7c43710f7b5b4e74a6a1435d6b5d8457114915b55c4,6072.068044995831,8742,535,9277
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--multi_step--incorrect_numeric_value--008,tool::calculate,,tool::calculate,True,False,tool::calculate,True,daab3898c616e738b86de1927c24bb6248802e85db4f8f3af1d7ae6b11fc0f1b,6672.212994999427,10328,718,11046
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--multi_step--incorrect_numeric_value--009,tool::calculate,,tool::calculate,True,False,tool::calculate,True,1cde7d3cde7f70b249f40b0e6ad0c21980c13a6321caef1414a0eb9304fd439a,5595.134647002851,10472,398,10870
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--multi_step--incorrect_numeric_value--010,tool::calculate,,call_model,False,False,tool::calculate,True,c4b6a6b6f950cc8b093d04de362ab1060ff9e564bc8155eb8cc5f2b80878c6d4,9891.277210997941,10526,1065,11591
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--multi_step--incorrect_numeric_value--011,tool::calculate,call_model,tool::calculate,True,False,tool::calculate,True,ae58fbf707e6cb25f032d1f2f088255d888b9a438665be3119da36ffc55b6218,9174.056293995818,11662,822,12484
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--multi_step--incorrect_numeric_value--012,tool::calculate,,tool::calculate,True,False,tool::calculate,True,e81a3a4f131fea367cea12de0c9a1031e1d506c9b0aeb7ae821ed078dd02dbd7,4603.90192399791,9765,283,10048
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--multi_step--incorrect_numeric_value--013,tool::calculate,,tool::calculate,True,False,tool::calculate,True,023e705a846002256645ce2c070aed5c11e7c006b77c1eedfbdc235d3e2a790c,6045.342235003773,10144,543,10687
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--multi_step--incorrect_numeric_value--014,tool::calculate,,tool::calculate,True,False,tool::calculate,True,d01e050b5f07f646af7789f2a78e5f4b02e202010972c2e1f18f72d8c56e7dcc,5145.3847990051145,10057,504,10561
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--multi_step--incorrect_numeric_value--015,tool::calculate,,tool::calculate,True,False,tool::calculate,True,bfd4aa1b31a1ae921670401e753165b7018b9c6d80e80b4235ae21adf6101f51,3383.8456719968235,10201,157,10358
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--multi_step--incorrect_numeric_value--016,tool::calculate,call_model,,False,False,tool::calculate,True,56fe9d2daa0bee218a5efdfe6cda201616186481758db6b22d404669c5645030,6813.179413999023,8441,660,9101
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--multi_step--incorrect_numeric_value--017,tool::calculate,,tool::calculate,True,False,tool::calculate,True,334262774932bf4c05ccc73e4e682f6657ee203631290cb0c01c9a74238f5708,11816.85863200255,10161,1074,11235
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--multi_step--incorrect_numeric_value--018,tool::calculate,,tool::calculate,True,False,tool::calculate,True,81368da88fc1c5baf50d70bd5da6df8024ebf5396f940cf96d8c4201c009d01e,6295.869283996581,10671,506,11177
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--multi_step--incorrect_numeric_value--019,tool::calculate,,tool::calculate,True,False,tool::calculate,True,880cd40743c5c87f23fb8359d77cddbacbc343ed3c028a00d705df1d9a31d616,6107.758983998792,10693,520,11213
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--multi_step--malformed_tool_result--000,tool::calculate,,tool::calculate,True,False,tool::calculate,True,25583c48e19b03612026f0624e21bf7c05e8c867d846ee57178a61a9595631e1,8680.433347006328,10519,1013,11532
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--multi_step--malformed_tool_result--001,tool::calculate,call_model,call_model,False,True,tool::calculate,True,289b95b78bbb12a669889230f82e48184978fc839fd411f9c02405b8ddb7b079,13741.50442199607,11692,1542,13234
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--multi_step--malformed_tool_result--002,tool::calculate,,tool::calculate,True,False,tool::calculate,True,6c91fd7e3938f8b4521c7ff8d76bc3db4ea64addf34b2fedbd8ff53e58eeac2a,9988.106908996997,9992,942,10934
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--multi_step--malformed_tool_result--003,tool::calculate,call_model,call_model,False,True,tool::calculate,True,e469a979c8abae1728c6e1c747ee9df6fbde096bdef02998e3b93bb8697ef701,10104.457779001677,11540,1064,12604
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--multi_step--malformed_tool_result--004,tool::calculate,call_model,tool::calculate,True,False,tool::calculate,True,d66fd01445982814c7602263f7142e6fe51734d04c1a4a5e0a583797623d3714,5117.3966610003845,12884,339,13223
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--multi_step--malformed_tool_result--005,tool::calculate,,tool::calculate,True,False,tool::calculate,True,0ee4709ad5913ac44b1969437eacf17aaba593eeff11949faaa0525624dd2125,4269.634680000308,10374,200,10574
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--multi_step--malformed_tool_result--006,tool::calculate,,tool::calculate,True,False,tool::calculate,True,6446bd714bb19a5b07a72f2d892a33f1a14ffa3e1ab3c6809c0b5ebd951fd43b,16290.942946005089,10279,1553,11832
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--multi_step--malformed_tool_result--007,tool::calculate,call_model,tool::calculate,True,False,tool::calculate,True,8b27f451ddd23308847ad789b5a02d490e35944272694f8932df5d8ee4fbc65d,20044.199080002727,13155,2123,15278
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--multi_step--malformed_tool_result--008,tool::calculate,,tool::calculate,True,False,tool::calculate,True,846c95d04ecd39f8e161998f26c4f483deafecb37f42c6602f746e3b6ae6bfcc,4857.576110996888,10139,341,10480
